timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226379.264,-39.062,-41.016,-48.828,-39.551,0.000
1718226379.268,-39.551,-37.598,-52.246,-47.363,0.000
1718226379.272,-39.062,-36.621,-46.875,-41.016,0.000
1718226379.276,-35.645,-36.621,-43.457,-40.039,0.000
1718226379.279,-37.109,-42.480,-46.875,-48.340,0.000
1718226379.283,-40.039,-46.387,-44.434,-59.082,0.000
1718226379.287,-33.203,-39.551,-42.969,-46.387,0.000
1718226379.291,-23.926,-31.250,-48.340,-41.016,0.000
1718226379.295,-37.598,-32.227,-46.875,-36.133,0.000
1718226379.299,-51.758,-44.434,-48.828,-48.828,0.000
1718226379.303,-53.223,-46.875,-45.410,-52.734,0.000
1718226379.307,-47.852,-52.734,-43.457,-31.250,0.000
1718226379.311,-39.551,-59.082,-46.875,-36.133,0.000
1718226379.315,-23.438,-50.781,-49.316,-35.156,0.000
1718226379.319,-15.625,-44.434,-66.895,-37.598,0.000
1718226379.322,-16.602,-47.852,-58.105,-44.922,0.000
1718226379.326,-21.484,-48.828,-49.805,-34.180,0.000
1718226379.330,-34.180,-48.828,-57.617,-27.832,0.000
1718226379.334,-15.625,-47.363,-43.945,-11.719,0.000
1718226379.338,-8.789,-45.898,-40.039,-10.742,0.000
1718226379.342,-32.715,-59.570,-47.363,-20.020,0.000
1718226379.346,-34.180,-62.500,-48.828,-25.391,0.000
1718226379.350,-25.391,-52.734,-56.152,-22.949,0.000
1718226379.354,-22.461,-48.828,-56.641,-25.391,0.000
1718226379.358,-21.484,-46.387,-51.758,-45.410,0.000
1718226379.362,-40.039,-52.734,-47.852,-57.617,0.000
1718226379.365,-30.762,-45.898,-41.016,-42.969,0.000
1718226379.369,-29.785,-44.434,-42.480,-38.086,0.000
1718226379.373,-43.457,-56.152,-54.688,-44.434,0.000
1718226379.377,-31.250,-51.270,-46.875,-36.133,0.000
1718226379.381,-39.062,-51.758,-43.945,-32.715,0.000
1718226379.385,-47.363,-56.641,-42.969,-39.551,0.000
1718226379.389,-41.504,-57.617,-39.551,-37.109,0.000
1718226379.393,-28.809,-56.152,-43.945,-15.625,0.000
1718226379.397,-10.254,-40.527,-40.039,-4.395,0.000
1718226379.401,-17.578,-36.133,-38.574,-29.785,0.000
1718226379.404,-29.785,-38.574,-33.691,-41.504,0.000
1718226379.408,-26.855,-42.969,-42.480,-36.621,0.000
1718226379.412,-20.996,-46.387,-55.664,-36.133,0.000
1718226379.416,-24.902,-44.922,-54.688,-35.156,0.000
1718226379.420,-25.879,-46.387,-47.852,-33.691,0.000
1718226379.424,-18.066,-48.828,-44.922,-21.973,0.000
1718226379.428,-19.531,-45.410,-51.758,-18.555,0.000
1718226379.432,-16.602,-32.715,-47.852,-13.672,0.000
1718226379.436,-3.418,-27.832,-41.016,-12.695,0.000
1718226379.440,-1.953,-34.668,-41.016,-25.391,0.000
1718226379.444,-15.137,-38.574,-39.551,-40.527,0.000
1718226379.447,-19.531,-28.809,-36.133,-39.551,0.000
1718226379.451,-31.250,-35.645,-32.227,-31.250,0.000
1718226379.455,-38.574,-45.410,-40.039,-46.387,0.000
1718226379.459,-46.875,-40.527,-44.922,-50.293,0.000
1718226379.463,-50.781,-41.504,-46.387,-36.621,0.000
1718226379.467,-45.410,-46.387,-55.664,-46.387,0.000
1718226379.471,-32.715,-38.574,-50.293,-43.457,0.000
1718226379.475,-40.527,-40.039,-31.738,-43.945,0.000
1718226379.479,-46.387,-51.758,-31.250,-47.363,0.000
1718226379.483,-22.949,-49.805,-37.598,-26.367,0.000
1718226379.487,-25.879,-55.176,-46.875,-21.484,0.000
1718226379.490,-33.203,-47.363,-59.570,-38.574,0.000
1718226379.494,-29.297,-35.645,-50.293,-41.016,0.000
1718226379.498,-26.367,-43.945,-41.504,-33.203,0.000
1718226379.502,-18.555,-44.922,-44.434,-37.598,0.000
1718226379.506,-15.137,-41.992,-41.016,-34.180,0.000
1718226379.510,-21.973,-45.898,-38.574,-30.762,0.000
1718226379.514,-29.297,-51.270,-55.664,-33.203,0.000
1718226379.518,-22.949,-43.945,-53.223,-29.297,0.000
1718226379.522,-17.578,-40.039,-43.457,-27.344,0.000
1718226379.526,-16.113,-50.781,-47.852,-30.273,0.000
1718226379.529,-19.531,-52.246,-51.270,-20.020,0.000
1718226379.533,-31.738,-50.293,-58.594,-18.066,0.000
1718226379.537,-30.762,-48.828,-56.641,-22.461,0.000
1718226379.541,-13.184,-39.062,-49.805,-10.742,0.000
1718226379.545,-28.320,-48.340,-69.336,-24.414,0.000
1718226379.549,-66.406,-63.477,-73.242,-54.199,0.000
1718226379.553,-60.547,-55.664,-60.547,-57.129,0.000
1718226379.557,-27.344,-48.828,-59.082,-41.992,0.000
1718226379.561,-29.297,-46.875,-52.246,-34.180,0.000
1718226379.565,-46.387,-41.992,-46.387,-29.785,0.000
1718226379.569,-56.641,-48.828,-49.316,-35.645,0.000
1718226379.572,-55.664,-51.758,-48.340,-32.227,0.000
1718226379.576,-40.527,-45.898,-41.504,-26.855,0.000
1718226379.580,-40.039,-46.875,-53.711,-62.988,0.000
1718226379.584,-31.738,-41.016,-54.199,-59.570,0.000
1718226379.588,-35.645,-45.898,-61.035,-39.062,0.000
1718226379.592,-45.898,-42.969,-69.824,-43.457,0.000
1718226379.596,-40.039,-40.527,-61.523,-45.410,0.000
1718226379.600,-34.668,-40.527,-56.152,-36.133,0.000
1718226379.604,-41.992,-42.480,-52.734,-42.480,0.000
1718226379.608,-45.410,-45.898,-55.176,-48.828,0.000
1718226379.612,-31.738,-43.457,-60.547,-40.039,0.000
1718226379.615,-21.973,-37.109,-55.176,-25.879,0.000
1718226379.619,-33.691,-36.133,-44.922,-22.461,0.000
1718226379.623,-38.574,-40.039,-52.246,-34.180,0.000
1718226379.627,-36.621,-45.410,-61.523,-32.715,0.000
1718226379.631,-45.898,-48.828,-59.082,-31.738,0.000
1718226379.635,-47.852,-46.875,-45.410,-29.785,0.000
1718226379.639,-45.898,-48.340,-44.922,-32.227,0.000
1718226379.643,-24.414,-32.227,-47.852,-35.156,0.000
1718226379.647,-21.484,-23.926,-43.457,-36.621,0.000
1718226379.651,-51.758,-40.039,-44.922,-48.828,0.000
1718226379.654,-68.848,-44.922,-44.434,-55.664,0.000
1718226379.658,-48.340,-50.781,-47.852,-55.664,0.000
1718226379.662,-42.480,-57.129,-56.152,-61.523,0.000
1718226379.666,-53.711,-53.711,-56.152,-62.500,0.000
1718226379.670,-46.387,-53.711,-48.828,-58.594,0.000
1718226379.674,-54.199,-49.805,-51.758,-55.176,0.000
1718226379.678,-60.059,-53.223,-50.293,-52.246,0.000
1718226379.682,-47.852,-56.641,-39.062,-34.668,0.000
1718226379.686,-33.203,-40.527,-40.527,-42.969,0.000
1718226379.690,-44.922,-36.133,-53.223,-64.941,0.000
1718226379.694,-44.434,-39.551,-47.363,-55.664,0.000
1718226379.697,-37.598,-36.133,-36.133,-42.969,0.000
1718226379.701,-41.992,-42.480,-31.250,-45.410,0.000
1718226379.705,-45.410,-45.898,-38.086,-46.875,0.000
1718226379.709,-51.270,-40.527,-44.434,-38.086,0.000
1718226379.713,-45.898,-45.898,-36.621,-29.785,0.000
1718226379.717,-47.363,-47.852,-41.504,-51.758,0.000
1718226379.721,-55.664,-41.504,-56.152,-62.500,0.000
1718226379.725,-60.059,-50.781,-52.246,-52.246,0.000
1718226379.729,-70.801,-55.664,-39.062,-59.570,0.000
1718226379.733,-62.500,-44.434,-44.434,-68.359,0.000
1718226379.737,-45.410,-41.504,-40.039,-53.711,0.000
1718226379.740,-47.363,-43.945,-31.738,-52.246,0.000
1718226379.744,-56.641,-41.504,-40.527,-66.406,0.000
1718226379.748,-55.664,-44.922,-39.551,-64.941,0.000
1718226379.752,-50.293,-53.711,-38.574,-59.082,0.000
1718226379.756,-53.711,-42.969,-33.691,-42.480,0.000
1718226379.760,-63.477,-41.992,-43.945,-50.781,0.000
1718226379.764,-70.801,-59.082,-65.918,-72.266,0.000
1718226379.768,-62.500,-57.617,-53.711,-56.641,0.000
1718226379.772,-60.547,-48.340,-43.945,-62.988,0.000
1718226379.776,-58.105,-41.504,-45.898,-74.219,0.000
1718226379.779,-64.941,-41.992,-47.363,-66.406,0.000
